"Genotype","PAR","Photoss","simPhotoss"
"col",300,10.6968326748013,10.2546626739417
"col",335.333333333333,11.2530010492475,10.8372419521211
"col",350,11.4337062841707,11.0398236004822
"col",274.666666666667,10.2225536027118,9.76610216059835
"col",241.333333333333,9.53117202752599,9.04089378051512
"col",318,11.0026568391105,10.568885826063
"col",275.333333333333,10.2354081729938,9.77954186830458
"col",323.333333333333,11.0841272598635,10.6549230179313
"col",272,10.1708476515405,9.71197941137419
"col",322.666666666667,11.0741639133328,10.6443397837912
"col",263.333333333333,9.99921844313444,9.53182777586162
"col",322,11.0641379901586,10.633707837894
"col",270,10.1317489835348,9.670995462494
"col",324.666666666667,11.1038670446013,10.6759438787655
"col",260.666666666667,9.94516063570325,9.47500491269047
"col",319.333333333333,11.0234044229951,10.5906902976099
"col",265.333333333333,10.0393546947843,9.57400295148314
"col",267.333333333333,10.0791603763734,9.61580976485902
"col",320.666666666667,11.0438975922734,10.6122972830035
"col",276,10.2482352013489,9.7929458822168
"col",280.666666666667,10.3373046791251,9.88580387129893
"col",324,11.0940282351525,10.6654576722707
"col",316,10.9710548413685,10.5358065229713
"col",336,11.2618144658625,10.8469247345645
"col",326.666666666667,11.133012531923,10.707113130745
"col",271.333333333333,10.1578461835438,9.69835599935355
"col",376,11.6910143094252,11.3483278697908
"col",400,11.8659570245914,11.5814133032694
"col",256.666666666667,9.86283114046466,9.38846246850079
"col",200,8.46126292318945,7.95105711197837
"col",363.333333333333,11.575181083794,11.2057651362329
"col",234.666666666667,9.37771144764659,8.88120000684873
"col",373.333333333333,11.6680599449585,11.3194896703797
"col",230.666666666667,9.28255877652997,8.78267083877911
"col",344.666666666667,11.3711430044598,10.9686563288813
"col",240,9.50096976397202,9.0093941462363
"col",225.333333333333,9.15182508733886,8.64797719788543
"col",355.333333333333,11.4928036325727,11.1082195728261
"col",248,9.67875446759153,9.19523815768484
"col",350.666666666667,11.4412808391223,11.0485232669127
"col",236,9.40890321666277,8.91358346640382
"col",349.333333333333,11.4260775740424,11.0310806325008
"col",237.333333333333,9.43984025884961,8.94574178136433
"col",344,11.3630736584592,10.9595621980678
"col",240.666666666667,9.5161005927174,9.02517088486967
"col",362,11.5619615654413,11.1899203245493
"col",360,11.5417533398026,11.1658458295951
"col",252.666666666667,9.77889269689515,9.30028323258325
"col",242.666666666667,9.56113916548741,9.07217943893407
"col",235.333333333333,9.39333947927768,8.89742005421208
"col",346.666666666667,11.3950170737295,10.9956731059413
"col",357.333333333333,11.5140930422779,11.1331673762933
"col",246.666666666667,9.64967882890834,9.16478048086855
"col",489.333333333333,12.1521940321898,12.1176254444113
"col",550,12.2015101472087,12.3014454893331
"col",183.333333333333,7.94474786893562,7.44143511830796
"col",40,1.71676334966396,1.52234491892135
"col",428.666666666667,12.0099134518658,11.8036057612966
"col",120,5.59295792300298,5.16891491152689
"col",441.333333333333,12.0549326781311,11.8848286559641
"col",168.666666666667,7.45631539298207,6.96336938767009
"col",404.666666666667,11.8938429552916,11.6215160692801
"col",163.333333333333,7.27058028185021,6.78249677650237
"col",492,12.1551833757119,12.1277141164096
"col",150.666666666667,6.81161021749503,6.33759093360655
"col",444.666666666667,12.0651614212562,11.9046527414831
"col",86.6666666666667,4.10025709596676,3.75441652628514
"col",464.666666666667,12.1143137356704,12.011278587234
"col",123.333333333333,5.7327197106702,5.30218059488435
"col",406,11.9014714728493,11.6326796928351
"col",153.333333333333,6.9103497770764,6.43306548002945
"col",422,11.9819703931812,11.7568933168543
"col",164,7.29403802210191,6.80531337820934
"col",420,11.9729733712311,11.7423191071463
"col",155.333333333333,6.98365957940483,6.5040347703381
"col",479.333333333333,12.1392769329159,12.0774834932252
"col",154.666666666667,6.95929368655077,6.48043882475732
"col",425.333333333333,11.9963287324337,11.7806044202616
"col",166,7.3639974275059,6.87340684202515
"col",434,12.0301039590382,11.8389727715675
"col",138,6.32687747364602,5.87070093940346
"col",414,11.9442003696901,11.6969921349243
"col",148,6.71172882170342,6.24114202036671
"col",440.666666666667,12.0528097056513,11.8807886960505
"col",164.666666666667,7.317426715853,6.82807054106304
"npq1",288,10.0958299273508,9.98270115803766
"npq1",300,10.3146086063449,10.1861021215832
"npq1",346,10.9837429861909,10.8552608118461
"npq1",350,11.0282818335273,10.9055476067366
"npq1",250,9.33713983411523,9.2478797023936
"npq1",240,9.11345461497084,9.02695017635944
"npq1",340,10.9131371213439,10.777574698781
"npq1",260,9.5493768432323,9.45642612408122
"npq1",332,10.8116581239733,10.6696861049174
"npq1",342,10.93718666031,10.8037739086856
"npq1",252,9.38045386741776,9.2905487209121
"npq1",270,9.75170393366792,9.65355550913313
"npq1",334,10.8378318567991,10.6971265906986
"npq1",328,10.7576671195838,10.6138547361892
"npq1",324,10.7014452060196,10.5567409239779
"npq1",376,11.2718838690027,11.2044227512544
"npq1",400,11.4341348239038,11.4403350362651
"npq1",230,8.87678289445324,8.79267147826788
"npq1",200,8.07346581120245,8.00007967454031
"npq1",354,11.0708506313481,10.9546525900712
"npq1",234,8.97310841347119,8.88804668648489
"npq1",372,11.2393025496252,11.1614906777151
"npq1",232,8.92522999665121,8.84064152290091
"npq1",218,8.5734687338045,8.49255591010537
"npq1",246,9.24912567597612,9.16104796429333
"npq1",368,11.2050120403913,11.1174774245469
"npq1",216,8.52069625669907,8.44041529896181
"npq1",384,11.3321086543043,11.2871165463019
"npq1",220,8.62558638121656,8.54407754040808
"npq1",364,11.168964912272,11.0723646950356
"npq1",236,9.02043045124395,8.93489469756152
"npq1",366,11.1872110180066,11.0950596378787
"npq1",490,11.6846535621119,12.0516826855868
"npq1",550,11.7311205956301,12.2941066864183
"npq1",40,1.50233111274165,1.55805867048137
"npq1",458,11.6415294935275,11.8765063356775
"npq1",460,11.6452655293495,11.888647281775
"npq1",158,6.71784861270327,6.66549908544101
"npq1",432,11.5751176615705,11.7021940795995
"npq1",172,7.19728995613313,7.1379338356507
"npq1",80,3.50271568345358,3.51407761473917
"npq1",476,11.6696600597514,11.9798590987625
"npq1",78,3.40834277391804,3.42175470885274
"npq1",512,11.7013240298912,12.1514499102976
"npq1",510,11.6999885726972,12.1429768976803
"npq1",418,11.5227267499784,11.5945360704317
"npq1",122,5.34767918248474,5.32003925450382
"npq1",120,5.2657233780892,5.23976882469016
"npq1",176,7.32907042440898,7.26779828440609
"npq1",82,3.59649367311655,3.60582344842667
"npq1",420,11.5310365539089,11.6105505648766
"npq1",498,11.6913856636517,12.0896965731242
"npq1",174,7.26346408174998,7.20314839959117
"npq4",300,10.0394866179377,9.89119458446808
"npq4",338,10.9348908756706,10.4461240943475
"npq4",350,11.1359288208727,10.6030533391521
"npq4",280,9.50396337714624,9.56136368717745
"npq4",240,8.58842507949687,8.79132017364251
"npq4",312,10.3677328289288,10.076267351884
"npq4",260,9.03556098813986,9.19795352368597
"npq4",322,10.6083089083316,10.2234699481603
"npq4",270,9.26423797438377,9.38445875872876
"npq4",330,10.780284528835,10.3367469194691
"npq4",274,9.35848134490658,9.45630525945707
"npq4",340,10.9709193604979,10.4728684520602
"npq4",268,9.21780212129919,9.34796431192913
"npq4",316,10.4674622585135,10.135904688053
"npq4",332,10.8205342025739,10.3644536833756
"npq4",282,9.55373866576659,9.59569871919975
"npq4",320,10.5625102070661,10.1945319549555
"npq4",278,9.45485929704373,9.52669286249313
"npq4",314,10.4181887853254,10.1062129057725
"npq4",262,9.08068763829568,9.23608045874416
"npq4",318,10.5155653614435,10.1653439530168
"npq4",368,11.3732029811685,10.8229262515221
